id,centroid
507500,POINT (1756749.9306470184 5931462.099443836)
507710,POINT (1757308.0118997542 5930525.186783105)
507720,POINT (1756814.3198899871 5929852.508074846)
507800,POINT (1757530.9782701605 5928973.370050103)
507900,POINT (1756501.056359871 5927580.018805938)
508010,POINT (1757847.326225704 5927636.717706649)
508020,POINT (1758590.8109270318 5925987.699576338)
508110,POINT (1759560.0487761176 5925172.116413304)
508120,POINT (1758603.265149095 5924297.999714966)
508210,POINT (1753014.3926344162 5927637.935975392)
508220,POINT (1753118.0159414324 5926390.342220764)
508310,POINT (1754120.466033527 5927664.164465469)
508320,POINT (1754634.9050920412 5928695.6596149085)
508411,POINT (1752636.620693366 5929049.469490743)
508412,POINT (1752593.860686716 5928228.1881438)
508420,POINT (1754411.872600703 5929942.041649274)
508510,POINT (1755828.4064803298 5929625.151120135)
508520,POINT (1755395.331741638 5930995.233447955)
508610,POINT (1754375.8957487736 5926120.143913412)
508620,POINT (1755275.5169588947 5927151.705214712)
508701,POINT (1751503.810025429 5934603.650676562)
508703,POINT (1753337.8220569184 5935915.86540148)
508704,POINT (1753602.4604901862 5934939.47181222)
508803,POINT (1753176.9173849435 5930677.819372599)
508804,POINT (1753907.817415505 5933546.822663645)
508805,POINT (1754516.2718705656 5932264.703808619)
508806,POINT (1750712.7394906338 5932038.080934874)
508807,POINT (1752404.0587517696 5932078.189900587)
508900,POINT (1754628.9432617119 5939126.769646753)
509000,POINT (1748278.5326086548 5931949.6162222)
509100,POINT (1750473.3462927658 5929421.615758987)
509300,POINT (1760251.3320910456 5924029.281054682)
509400,POINT (1760639.6959951094 5922879.511112739)
509500,POINT (1759138.76510061 5922894.1240953505)
509701,POINT (1755223.621858855 5926113.937308478)
509702,POINT (1756315.4943441723 5925652.106194246)
509800,POINT (1755460.3526919603 5924388.222093588)
510010,POINT (1750734.5654425866 5926974.456222782)
510020,POINT (1751051.248653302 5925414.3601138545)
510210,POINT (1751720.3338237335 5926840.499018059)
510220,POINT (1752072.1805398152 5925851.891943507)
510401,POINT (1752941.899965459 5925042.875061445)
510402,POINT (1752634.9451083422 5923941.840228463)
510500,POINT (1754421.636081799 5924369.4616729785)
510700,POINT (1745426.5085412273 5917619.797904987)
510800,POINT (1745242.4624593025 5916467.304499101)
511001,POINT (1745770.0759232524 5913262.071259047)
511002,POINT (1746409.2251913613 5913094.454653238)
511100,POINT (1747578.5022105498 5913569.536457681)
511301,POINT (1749242.6306757764 5914548.662470213)
511302,POINT (1748924.4588855165 5914035.261779979)
511303,POINT (1750151.8658852803 5913910.178786104)
511401,POINT (1748923.0748796163 5913120.039368765)
511402,POINT (1749896.0353636495 5912642.156050066)
511601,POINT (1747226.6131615348 5916173.57152426)
511602,POINT (1747718.9632001328 5915680.322705979)
511700,POINT (1748372.3860235452 5915060.445962961)
511800,POINT (1746343.8440464449 5915010.405377635)
511901,POINT (1747476.3611774927 5911695.284583077)
511902,POINT (1748371.2956788735 5911784.605195011)
512000,POINT (1747412.7699102426 5909731.096162611)
512100,POINT (1749656.6262587707 5911564.77007464)
512201,POINT (1746709.5241987729 5922123.987811982)
512202,POINT (1747505.930165908 5922364.704378759)
512300,POINT (1747059.5458817664 5920821.328534536)
512401,POINT (1746381.4889469126 5918882.093843134)
512402,POINT (1747032.508511047 5919143.063637781)
512500,POINT (1746919.0242753795 5917542.991044483)
512600,POINT (1746393.8542620097 5911719.441021452)
512700,POINT (1745646.4583893262 5909891.051023493)
512801,POINT (1745144.063344457 5907901.988255931)
512802,POINT (1743592.2255092505 5906600.086549346)
512902,POINT (1743069.8544254054 5911549.143376803)
512903,POINT (1744982.1358163976 5915023.241787608)
512904,POINT (1745371.5525597704 5914430.031553715)
512905,POINT (1744354.9725201624 5914090.443668687)
512906,POINT (1745125.061840164 5913487.167038156)
513011,POINT (1744051.039312157 5916747.523985565)
513012,POINT (1743519.89725267 5915693.386044732)
513013,POINT (1744287.5193671817 5915174.836549802)
513020,POINT (1740295.688779911 5914447.777002051)
513101,POINT (1740881.1346469051 5919031.447778787)
513102,POINT (1739782.6824970292 5917391.497573384)
513211,POINT (1742510.7937787727 5919337.107084144)
513212,POINT (1743194.4790168286 5919654.387146389)
513213,POINT (1743062.6093911438 5918873.052285407)
513214,POINT (1742227.1116344065 5918243.80621563)
513220,POINT (1743209.08698741 5917560.334706805)
513301,POINT (1745351.930293893 5919989.374385959)
513302,POINT (1744866.5742996333 5918808.836774131)
513410,POINT (1743885.381456633 5926312.59454784)
513420,POINT (1746335.5646316402 5928332.914923241)
513431,POINT (1747062.5462546472 5925875.91698366)
513432,POINT (1746744.4651937727 5925704.043622677)
513511,POINT (1743823.398210963 5923209.834700046)
513512,POINT (1743794.3091430063 5922296.251329833)
513521,POINT (1744803.717088051 5923607.63544776)
513522,POINT (1746078.2872527766 5924385.126443786)
513530,POINT (1745255.236645291 5922413.910038513)
513610,POINT (1742239.551566406 5922822.60178165)
513621,POINT (1741365.9349708073 5920567.569732711)
513622,POINT (1742902.853565488 5920816.83244711)
513631,POINT (1743767.9994871519 5921538.573113036)
513632,POINT (1744109.9077227397 5920592.830093441)
513701,POINT (1740139.6635658676 5923888.724429669)
513702,POINT (1737589.025913624 5919504.496529839)
513800,POINT (1735484.7802369206 5908970.439292731)
514000,POINT (1756054.702290845 5919990.88898779)
514101,POINT (1757905.092184317 5920968.997906165)
514102,POINT (1756855.0458024885 5920255.998065257)
514103,POINT (1757674.9374228462 5920206.183312914)
514200,POINT (1756736.957740629 5919171.326453619)
514301,POINT (1757402.797798552 5919239.912783384)
514302,POINT (1757600.8478421024 5918917.992847266)
514401,POINT (1751435.975662283 5915608.92498614)
514402,POINT (1751454.524222782 5914242.490761392)
514500,POINT (1752679.7078749735 5914219.487547228)
514600,POINT (1751508.755298429 5913246.150216866)
514700,POINT (1751582.981138592 5912210.205694351)
514801,POINT (1749339.7211631548 5917219.554097153)
514802,POINT (1750408.9049011597 5915531.4081866145)
514900,POINT (1751447.3771537917 5917147.044853337)
515001,POINT (1751758.9224367393 5918606.584444592)
515002,POINT (1752449.6086381946 5918945.527264644)
515003,POINT (1752680.357161402 5917691.9073550245)
515100,POINT (1753377.5637558207 5919588.710726696)
515201,POINT (1754418.792607429 5920967.364586897)
515202,POINT (1755594.2404706024 5921145.993037186)
515301,POINT (1754578.2976022556 5920350.168906423)
515302,POINT (1755275.1525340993 5920188.7484873915)
515410,POINT (1754782.3806168062 5919384.081464293)
515420,POINT (1755545.3732560228 5919078.769771531)
515431,POINT (1754136.9433478464 5918739.406232158)
515432,POINT (1754079.353298387 5918104.671277545)
515500,POINT (1755732.2254199823 5918641.391997584)
515600,POINT (1756536.0950235368 5918574.422068286)
515700,POINT (1757878.0009823134 5917410.406325346)
515801,POINT (1757719.2714993001 5916112.817259658)
515802,POINT (1757426.322523765 5915176.524579934)
