area_unit_id,area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
519820,Onehunga South East,21,111,132,10.8, 399 , 477 , 210 ," 1,083 ",88.9," 1,218 ", 57 ," 1,275 ",2.5
519900,Oranga,78,129,210,18.2, 336 , 393 , 213 , 942 ,81.8," 1,152 ", 63 ," 1,215 ",3.1
520000,Te Papapa,39,72,108,9.6, 351 , 447 , 219 ," 1,014 ",90.1," 1,125 ", 66 ," 1,191 ",2.6
520201,Ellerslie North,12,72,87,3.8, 573 , 888 , 738 ," 2,199 ",96.3," 2,283 ", 78 ," 2,364 ",2.5
520202,Ellerslie South,9,33,45,6.1, 195 , 312 , 189 , 696 ,94.3, 738 , 30 , 768 ,2.5
520301,Mt Wellington Domain,15,54,72,12.1, 207 , 219 , 96 , 525 ,87.9, 597 , 24 , 621 ,2.4
520302,Mt Wellington West,18,63,78,9.5, 270 , 321 , 150 , 744 ,90.2, 825 , 15 , 840 ,2.5
520303,Mt Wellington North,33,120,156,16.9, 282 , 324 , 165 , 768 ,83.4, 921 , 63 , 984 ,2.9
520401,Ferndale,48,120,171,11.9, 420 , 537 , 309 ," 1,266 ",88.1," 1,437 ", 72 ," 1,509 ",2.8
520402,Hamlin,60,120,180,12.2, 420 , 486 , 384 ," 1,293 ",87.8," 1,473 ", 45 ," 1,518 ",3.1
520500,Mt Wellington South,120,189,309,20.8, 429 , 429 , 321 ," 1,179 ",79.2," 1,488 ", 60 ," 1,548 ",3.5
520601,Tamaki,102,180,279,23.8, 402 , 306 , 183 , 891 ,76.2," 1,170 ", 123 ," 1,290 ",3.4
520602,Panmure Basin,15,48,60,5.9, 225 , 396 , 324 , 951 ,94.1," 1,011 ", 33 ," 1,044 ",2.3
520801,Waiheke Island,12,114,126,3.9, 891 ," 1,194 "," 1,002 "," 3,084 ",96.1," 3,210 ", 114 ," 3,324 ",2.2
520900,Islands-Motutapu Rangitoto Rakino,,,,, 6 , 9 , 9 , 21 ,100.0, 21 , ..C , 24 ,2.3
521000,Great Barrier Island,,12,15,3.9, 108 , 129 , 135 , 372 ,96.1, 387 , 33 , 420 ,1.8
521111,Paerata-Cape Hill,,9,9,3.2, 45 , 99 , 123 , 270 ,95.7, 282 , 9 , 288 ,3.0
521112,Eden Road-Hill Top,,6,9,5.7, 27 , 57 , 69 , 153 ,96.2, 159 , 15 , 174 ,3.3
521116,Buckland,,,,, 21 , 54 , 66 , 141 ,95.9, 147 , ..C , 147 ,3.1
521121,Patumahoe,,18,21,3.0, 111 , 213 , 366 , 690 ,97.0, 711 , 21 , 732 ,3.0
521122,Kingseat,9,30,42,2.2, 321 , 561 , 984 ," 1,860 ",97.8," 1,902 ", 54 ," 1,953 ",2.9
521132,Hunua,6,30,33,2.6, 180 , 390 , 648 ," 1,218 ",97.4," 1,251 ", 63 ," 1,314 ",3.0
521134,Paparata,,,,, 15 , 21 , 33 , 69 ,95.8, 72 , ..C , 69 ,2.9
521151,Awhitu,,21,21,2.4, 138 , 264 , 450 , 855 ,97.3, 879 , 60 , 936 ,2.6
521152,Glenbrook,,12,15,2.2, 111 , 216 , 327 , 657 ,98.2, 669 , 36 , 705 ,2.8
521160,Bombay,,12,12,4.5, 36 , 63 , 147 , 249 ,94.3, 264 , 12 , 273 ,2.9
521201,Hingaia,,3,3,1.4, 24 , 54 , 141 , 216 ,98.6, 219 , ..C , 225 ,2.9
521202,Whangapouri Creek,,,,, 21 , 60 , 108 , 186 ,96.9, 192 , 3 , 198 ,2.9
521203,Bremner,,,,, 15 , 36 , 63 , 111 ,97.4, 114 , 6 , 120 ,3.3
521301,Drury,,27,27,2.7, 171 , 300 , 513 , 984 ,97.3," 1,011 ", 81 ," 1,092 ",3.0
521302,Runciman,,6,6,3.7, 51 , 36 , 72 , 156 ,96.3, 162 , 27 , 189 ,2.7
521501,Mellons Bay,,18,18,1.7, 207 , 366 , 474 ," 1,050 ",98.0," 1,071 ", 15 ," 1,083 ",2.8
521502,Cockle Bay,,27,27,1.7, 252 , 534 , 777 ," 1,563 ",98.3," 1,590 ", 33 ," 1,623 ",2.9
521601,Howick West,3,33,39,4.5, 198 , 336 , 297 , 831 ,95.2, 873 , 21 , 891 ,3.0
