name,url,address,lat,lng
Greenwood Medical Centre,/doctors/gp/greenwood-medical-centre/,"641 Manukau Road, Royal Oak, Auckland",-36.9060132,174.7742012
Grey Lynn Family Medical Centre,/doctors/gp/grey-lynn-family-medical-centre/,"543 Great North Road, Grey Lynn, Auckland",-36.8648504,174.7376784
Hauora o Puketapapa - Roskill Union & Community Health,/doctors/gp/hauora-o-puketapapa-roskill-union-community/,"1492 Dominion Road Extension, Mount Roskill, Auckland",-36.921015,174.7361036
Health Star Medical Centre - Glen Innes,/doctors/gp/health-star-medical-centre-glen-innes/,"132 West Tamaki Road, Glen Innes, Auckland",-36.8693482,174.85994089999997
Healthcare Roskill South,/doctors/gp/healthcare-roskill-south/,"1259 Dominion Road Extension, Mount Roskill, Auckland",-36.921166,174.7355256
Herne Bay Medical Centre,/doctors/gp/herne-bay-medical-centre/,,,
Hillsborough Medical Centre,/doctors/gp/hillsborough-medical-centre/,"165 Hillsborough Road, Hillsborough, Auckland",-36.9197338,174.7574083
Hillside Medical Centre,/doctors/gp/hillside-medical-centre/,"711 Richardson Road, Hillsborough, Auckland",-36.9261124,174.7493035
Holistic Medical Centre,/doctors/gp/holistic-medical-centre/,"48A Ponsonby Road, Grey Lynn, Auckland",-36.8589186,174.75081209999996
Hong Kong Surgery,/doctors/gp/hong-kong-surgery/,"111 Queens Road, Panmure, Auckland",-36.900033,174.854786
K' Road Medical Centre,/doctors/gp/k-road-medical-centre/,"345 Karangahape Road, Auckland Central, Auckland",-36.8578844,174.7572342
Kingsland Family Health Centre,/doctors/gp/kingsland-family-health-centre/,"495 New North Road, Kingsland, Auckland",-36.8722373,174.7440451
Langimalie Health Centre,/doctors/gp/langimalie-health-centre/,,,
Lynfield Medical Clinic,/doctors/gp/lynfield-medical-clinic/,Lynfield Shopping Centre,-36.9260278,174.7228301
M.P.S. Surgery Ltd,/doctors/gp/mps-surgery-ltd/,"44 Mason Avenue, Otahuhu, Auckland",-36.9448406,174.83969149999996
Marsden Medical Practice,/doctors/gp/marsden-medical-practice/,"785 Mount Eden Road, Mount Eden, Auckland",-36.8931099,174.7522881
Maungakiekie Clinic,/doctors/gp/maungakiekie-clinic-1/,Maungakiekie Clinic,-36.8921709,174.7950877
Meadowbank Family Doctors,/doctors/gp/meadowbank-family-doctors/,Meadowbank Shopping Centre,-36.87570712355306,174.82790172100067
Meadowbank General Practice,/doctors/gp/meadowbank-general-practice/,"25 St Johns Road, Saint Johns, Auckland",-36.8765486,174.82678299999998
Meadowbank Medical Centre,/doctors/gp/meadowbank-medical-centre/,"2 Blackett Crescent, Meadowbank, Auckland",-36.87333599999999,174.8288636
Mens High Street Clinic,/doctors/gp/mens-high-street-clinic/,"Level 3, 43 High Street, Auckland Central, Auckland",-36.8480151,174.7662993
Mission Bay Doctors,/doctors/gp/mission-bay-doctors/,"10 Marau Crescent, Mission Bay, Auckland",-36.84860949999999,174.8304257
Mt Albert Medical Centre,/doctors/gp/mt-albert-medical-centre/,"986 New North Road, Mount Albert, Auckland",-36.8856086,174.71422459999997
Mt Eden 575 Doctors,/doctors/gp/mt-eden-575-doctors/,"575 Mount Eden Road, Mount Eden, Auckland",-36.8872325,174.7600193
Mt Eden Medical Centre,/doctors/gp/mt-eden-medical-centre/,"457 Mount Eden Road, Mount Eden, Auckland",-36.8833408,174.7611331
Mt Eden Village Doctors,/doctors/gp/mt-eden-village-doctors/,"431A Mount Eden Road, Mount Eden, Auckland",-36.8818484,174.7619065
Mt Roskill Medical & Surgical Centre,/doctors/gp/mt-roskill-medical-surgical-centre/,Mt Roskill Medical & Surgical Centre,-36.9132158,174.7279796
Mt Smart Medical Centre,/doctors/gp/mt-smart-medical-centre/,Mt Smart Medical Centre,-36.914822,174.80138120000004
Mt Wellington Accident and Family Health Care,/doctors/gp/mt-wellington-accident-and-family-health/,"1/627 Mount Wellington Highway, Mount Wellington, Auckland",-36.9298183808592,174.84264850616455
Mt Wellington Family Health Centre,/doctors/gp/mt-wellington-family-health-centre/,"283 Penrose Road, Mount Wellington, Auckland",-36.9080291,174.8368786
Mt Wellington Medical Clinic,/doctors/gp/mt-wellington-medical-clinic/,"350 Ellerslie-Panmure Highway, Mount Wellington, Auckland",-36.8965955,174.8310446
My Doctor Limited,/doctors/gp/my-doctor-limited/,"52 Gladstone Road, Parnell, Auckland",-36.8533478,174.7863354
New Al-Dawa Medical Centre,/doctors/gp/new-al-dawa-medical-centre/,"1230 Dominion Road, Mount Roskill, Auckland",-36.9027872,174.74257409999996
New Windsor Medical Centre,/doctors/gp/new-windsor-medical-centre/,"275 New Windsor Road, New Windsor, Auckland",-36.91131584480931,174.71693068742752
Newmarket Medical Centre,/doctors/gp/newmarket-medical-centre/,"197 Broadway, Newmarket, Auckland",-36.86907790000001,174.7776076
Newton Medical Centre,/doctors/gp/newton-medical-centre/,"353 Karangahape Road, Auckland Central, Auckland",-36.8579574,174.7569832
OneHealth General Practice & Urgent Care,/doctors/gp/onehealth-general-practice-urgent-care/,"122 Remuera Road, Remuera, Auckland",-36.8738338,174.7838921
Onecare Health Otahuhu,/doctors/gp/onecare-health-otahuhu/,"121 Church Street, Otahuhu, Auckland",-36.9447479,174.84679719999997
Onehunga Accident & Medical Centre,/doctors/gp/onehunga-accident-medical-centre/,Onehunga Accident & Medical Centre,-36.9233319,174.7836727
Onehunga Doctors Ltd,/doctors/gp/onehunga-doctors-ltd/,"545 Richardson Road, Mount Roskill, Auckland",-36.9191927,174.73426270000004
Onehunga Family Medical Centre,/doctors/gp/onehunga-family-medical-centre/,"161 Onehunga Mall, Onehunga, Auckland",-36.9235475,174.78564200000005
Onehunga Medical Practice,/doctors/gp/onehunga-medical-practice/,"147 Onehunga Mall, Onehunga, Auckland",-36.92408289999999,174.7857299
Oneroa Accident & Medical Centre,/doctors/gp/oneroa-accident-medical-centre/,Oneroa Accident & Medical Centre,-36.7836872,175.0110032
Orakei Health Services - General Practice,/doctors/gp/orakei-health-services-general-practice/,"25/215 Kepa Road, Mission Bay, Auckland",-36.8606817,174.8296432
Ostend Medical Centre,/doctors/gp/ostend-medical-centre-1/,Ostend Medical Centre,-36.7961076,175.0449138
Otahuhu College Health & Wellness Centre,/doctors/gp/otahuhu-college-health-wellness-centre/,"74-78 Mangere Road, Otahuhu, Auckland",-36.9518343,174.83932470000002
Otahuhu Family Doctors,/doctors/gp/otahuhu-family-doctors/,"29 Mason Avenue, Otahuhu, Auckland",-36.9441016,174.8405917
Otahuhu Family Medical Centre,/doctors/gp/otahuhu-family-medical-centre/,"3/507 Great South Road, Otahuhu, Auckland",-36.9340876,174.8515804
